profile,attachment_label,repeat,turn_index,session_id,transport,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_pass,cost_pass,memory_recall_passes,memory_recall_total,marker_in_summary
growing,0KB,0,1,20a90f4c-5e8f-41f6-b911-480013aaf5e6,in_process,188,0,2,0,0,2483,332,0.0,6708,none,,1,1,0,0,0
growing,0KB,0,2,20a90f4c-5e8f-41f6-b911-480013aaf5e6,in_process,129,0,4,0,0,2504,327,0.0,5018,none,,1,1,0,0,0
growing,0KB,0,3,20a90f4c-5e8f-41f6-b911-480013aaf5e6,in_process,112,0,6,0,0,4509,613,0.0,10415,none,,0,1,0,0,0
growing,0KB,0,4,20a90f4c-5e8f-41f6-b911-480013aaf5e6,in_process,104,0,8,0,0,2585,388,0.0,6861,none,,1,1,0,0,0
growing,0KB,0,5,20a90f4c-5e8f-41f6-b911-480013aaf5e6,in_process,97,0,10,0,0,2578,366,0.0,5529,none,,1,1,0,0,0
growing,0KB,0,6,20a90f4c-5e8f-41f6-b911-480013aaf5e6,in_process,86,0,12,0,0,2694,498,0.0,6867,none,,1,1,9,9,0
growing,0KB,1,1,f480e85a-adf2-410f-bbdb-e52a7804a161,in_process,188,0,2,0,0,2495,343,0.0,5471,none,,1,1,0,0,0
growing,0KB,1,2,f480e85a-adf2-410f-bbdb-e52a7804a161,in_process,129,0,4,0,0,2477,299,0.0,5167,none,,1,1,0,0,0
growing,0KB,1,3,f480e85a-adf2-410f-bbdb-e52a7804a161,in_process,112,0,6,0,0,2617,419,0.0,7541,none,,1,1,0,0,0
growing,0KB,1,4,f480e85a-adf2-410f-bbdb-e52a7804a161,in_process,104,0,8,0,0,2631,430,0.0,15766,none,,0,1,0,0,0
growing,0KB,1,5,f480e85a-adf2-410f-bbdb-e52a7804a161,in_process,97,0,10,0,0,2603,379,0.0,10750,none,,0,1,0,0,0
growing,0KB,1,6,f480e85a-adf2-410f-bbdb-e52a7804a161,in_process,86,0,12,0,0,2751,529,0.0,7236,none,,1,1,9,9,0
growing,0KB,2,1,90761d10-e4aa-4d67-9dad-ec566e3992a2,in_process,188,0,2,0,0,2503,361,0.0,5724,none,,1,1,0,0,0
growing,0KB,2,2,90761d10-e4aa-4d67-9dad-ec566e3992a2,in_process,129,0,4,0,0,2564,369,0.0,6085,none,,1,1,0,0,0
growing,0KB,2,3,90761d10-e4aa-4d67-9dad-ec566e3992a2,in_process,112,0,6,0,0,2573,388,0.0,6143,none,,1,1,0,0,0
growing,0KB,2,4,90761d10-e4aa-4d67-9dad-ec566e3992a2,in_process,104,0,8,0,0,2701,525,0.0,8050,none,,0,1,0,0,0
growing,0KB,2,5,90761d10-e4aa-4d67-9dad-ec566e3992a2,in_process,97,0,10,0,0,2752,510,0.0,6983,none,,1,1,0,0,0
growing,0KB,2,6,90761d10-e4aa-4d67-9dad-ec566e3992a2,in_process,86,0,12,0,0,2934,625,0.0,9575,none,,0,1,9,9,0
growing,5KB,0,1,09a1b051-bb21-4540-9951-2eb72316ffa5,in_process,2728,2495,2,0,0,3697,387,0.0,7106,none,,1,1,0,0,0
growing,5KB,0,2,09a1b051-bb21-4540-9951-2eb72316ffa5,in_process,2669,2495,4,0,0,3740,366,0.0,5640,none,,1,1,0,0,0
growing,5KB,0,3,09a1b051-bb21-4540-9951-2eb72316ffa5,in_process,2652,2495,6,0,0,3840,363,0.0,6552,none,,1,1,0,0,0
growing,5KB,0,4,09a1b051-bb21-4540-9951-2eb72316ffa5,in_process,2644,2495,8,0,0,3723,368,0.0,7156,none,,1,1,0,0,0
